date,return,nav
2021-09-23,0.015246611633076477,1.0152466116330765
2021-09-24,-0.013518694968501485,1.0015218023726042
2021-09-27,-0.02234092778749894,0.9791468761081921
2021-09-28,-0.0005673200963103262,0.9785913864081364
2021-09-29,-0.02555072192221695,0.9535876700185453
2021-09-30,0.01881711619795837,0.9715314400102247
2021-10-08,0.02313856333489485,0.9940112817667429
2021-10-11,-0.0035001461593876745,0.990532096996479
2021-10-12,-0.009477434010458545,0.9811443944119538
2021-10-13,0.009172963073669388,0.9901443957118324
2021-10-14,0.0026918486328566874,0.99280971454976
2021-10-15,-0.013252144175197511,0.9796528570740098
2021-10-18,-0.0019823324255845917,0.9777108594496154
2021-10-19,-0.0018655992487123518,0.9758868428047683
2021-10-20,-0.009165477671713133,0.9669423737369226
2021-10-21,-0.00957335219869395,0.957685493837298
2021-10-22,0.0003621581251439937,0.9580323274202237
2021-10-25,0.0027872638135920877,0.9607026162586936
2021-10-26,-0.006405554715875751,0.9545487830845635
2021-10-28,-0.025526797148906336,0.9301822099300284
2021-10-29,0.019616627140381995,0.9484292475148423
2021-11-01,0.012767421437458024,0.9605382434214754
2021-11-02,-0.008869641417553725,0.9520186136344799
2021-11-03,0.009009157359394676,0.9605954991337857
2021-11-04,0.012350360454879493,0.972459199799423
2021-11-05,0.007075141613795109,0.9793394863516417
2021-11-08,0.0006707570609320737,0.9799963852271617
2021-11-09,0.016701589933981714,0.9963638829900101
2021-11-10,0.01891271802297126,1.015207832157273
2021-11-11,0.009563920993354968,1.0249171996558604
2021-11-12,0.016557789077266436,1.0418875624694246
2021-11-15,0.018397698746668387,1.0610558959716376
2021-11-16,-0.013099203056814801,1.0471569093356745
2021-11-17,0.010476615995302743,1.0581275701616124
2021-11-18,-0.014781060691059807,1.04248732232817
2021-11-19,0.017595443611362373,1.0608303492237556
2021-11-22,0.006011627585141986,1.067207666214305
2021-11-23,0.017700268946725314,1.0860975289283055
2021-11-25,0.0008992511613429557,1.087074203392526
2021-11-26,-0.010772699332948938,1.0753634798467735
2021-11-29,0.00023601247643464384,1.0756172790447196
2021-11-30,0.02393381030490145,1.10136089896205
2021-12-01,0.021428573218079876,1.1249614916249886
2021-12-02,-0.016213437110344616,1.1067219992289674
2021-12-03,0.0036604986302611886,1.1107731535912249
2021-12-06,-0.02788583277540976,1.0797983191787655
2021-12-07,0.0022855988843317565,1.0822663050123837
2021-12-08,0.006347601486472387,1.0891361002188393
2021-12-09,-0.0005189928483283413,1.0885708463719694
2021-12-10,0.0034831948217936824,1.092362550707208
2021-12-13,0.007202766604421067,1.100230583207362
2021-12-14,0.011605670703712071,1.1129994970542196
2021-12-15,0.005131449545703697,1.118710797817747
2021-12-16,0.013515592421814477,1.1338308369989345
2021-12-17,-0.0073242062883887415,1.1255264260526179
2021-12-20,-0.007829092392695233,1.1167145756726318
2021-12-21,0.021471706256074433,1.1406923430133515
2021-12-23,-0.02097125267154778,1.1167705956675187
2021-12-24,-0.014526696135961248,1.1005476085706802
2021-12-27,0.02978335206391849,1.1333256054598444
2021-12-28,0.010124283319141556,1.1447997149823574
2021-12-29,0.009667429113792276,1.1558669850764391
2021-12-30,0.015446917003199076,1.1737215664616527
2021-12-31,0.005217061607505335,1.179844944183941
2022-01-04,0.02549065623571474,1.2099199660675797
2022-01-05,-0.020358501437660603,1.1852878086989387
2022-01-06,0.01822844908834384,1.2068937671748419
2022-01-07,-0.024908469153410683,1.1768318910037237
2022-01-10,0.01794130412232935,1.1979457898610772
2022-01-11,0.01160940545557882,1.2118532282493781
2022-01-12,0.012595856986438671,1.2271175582009612
2022-01-13,-0.0056192588995435085,1.2202220669412545
2022-01-14,-0.003995791280334821,1.2153463142460985
2022-01-17,0.02812961952930155,1.2495335436621802
2022-01-18,-0.033639086420618636,1.2075003768014663
2022-01-19,0.019969299833107357,1.2316133138744048
2022-01-21,-0.010003095890301352,1.2192933677959472
2022-01-24,-0.010511186501145036,1.2064771478074348
2022-01-25,-0.04689775288331339,1.1498960806701968
2022-01-26,0.0033092638295043244,1.1537013901776474
2022-01-27,-0.03878819283148099,1.1089513981854893
2022-01-28,0.02381740923166365,1.1353637474540987
2022-02-07,0.022870679379067983,1.1613302877007385
2022-02-08,0.01824502842963135,1.1825187918160305
2022-02-09,0.012461089497266653,1.1972542643130495
2022-02-10,-0.0030905163145906233,1.1935541304764767
2022-02-11,-0.021353638356139255,1.168067407215806
2022-02-14,0.01136100336418578,1.1813378249587805
2022-02-15,0.0032496875004451352,1.185176803722352
2022-02-16,0.01727999744442876,1.2056566558618704
2022-02-17,0.0021192393607860904,1.2082117309025666
2022-02-18,0.013143713882820946,1.2240921202034178
2022-02-21,0.011056880910407721,1.2376267609998755
2022-02-22,-0.005567166900461241,1.230736686260912
2022-02-23,0.014936380222548468,1.2491194373607442
2022-02-25,0.006134323358409195,1.256781939902789
2022-02-28,-0.011068675439823976,1.2428710285113729
2022-03-01,0.013788938640998298,1.2600089008621909
2022-03-02,0.0011878549275187295,1.2615056086437977
2022-03-03,3.2237153837659623e-06,1.2615096753788348
2022-03-04,-0.012083280400125731,1.2462665002437607
2022-03-07,-0.013194254532514384,1.2298229428241987
2022-03-08,-0.033006194005244835,1.189231168181242
2022-03-09,-0.021408673599738994,1.1637713062670134
2022-03-10,0.015592897003279439,1.1819178723810069
2022-03-11,0.004210059599519507,1.1868938170654684
2022-03-14,-0.027952664996482003,1.1537169718106415
2022-03-15,-0.04880247171069592,1.0974127319317029
